State,District,Block,Gram Panchayat,Village,SHG Code,SHG Name,SHG NIC Code,SHG Category,Date of Formation,Active Members,Primary Parent CBO (VO),Secondary Parent CBO (CLF),Promoted By,Promoters Name,Co-option Status,Co-option/Revival Date,SHG Type,Special SHG Type,Meeting Frequency,Savings Frequency,Savings Amount,Tenure of Office Bearers (Months),Primary Livelihoods,Secondary Livelihoods,Tertiary Livelihoods,Status (Active/Inactive),1st Account Number,1st Account Type,1st IFSC,1st Branch Name,1st Bank Name,1st Account Opening Date,is_synthetic
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000934194,ASHIRBAD,242043,OBC,13-08-2007,12,JYOTIRUPA,KAPOUPAHI,Other,ASHIRBOD S H G,Revived,05-04-2018,Woman(Regular),-,Weekly,Weekly,25,12,shg_manufacturing,shg_livestock,shg_livestock,Active,327010114941.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,19-07-2010,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000935234,ASHIRBAD,239386,SC,02-08-2007,10,JYOTIRUPA,KAPOUPAHI,SGSY,,Revived,06-04-2018,Woman(Regular),-,Weekly,Weekly,25,12,shg_livestock,shg_livestock,shg_manufacturing,Active,327010114967.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,27-08-2007,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000933774,ASOM JYOTI,237769,GEN,09-03-2010,10,SONALI,KAPOUPAHI,SGSY,,Revived,24-08-2017,Woman(Regular),-,Weekly,Weekly,25,24,-,-,-,Active,327010114282.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,15-04-2010,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000935619,BHOURA DANGYARIYA,234898,GEN,05-07-2004,12,MATRI MANGAL,KAPOUPAHI,SGSY,,Revived,04-08-2023,Woman(Regular),-,Weekly,Weekly,20,24,-,-,-,Active,327010414227.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,26-09-2018,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000934868,BISHNUJYOTI SHG,300590,SC,05-01-2017,10,JYOTIRUPA,KAPOUPAHI,NRLM,,Revived,03-04-2018,Woman(Regular),-,Weekly,Weekly,25,12,-,-,-,Active,327010426770.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,13-06-2019,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000934156,BISHNUJYOTI SHG,273810,GEN,20-06-2007,12,KAJIRANGA,KAPOUPAHI,SGSY,,Revived,28-08-2017,Woman(Regular),-,Weekly,Weekly,25,24,-,-,-,Active,327010114901.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,25-07-2007,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000935642,CHANDRAMA  SHG,146553,-,25-11-2010,11,KAJIRANGA,KAPOUPAHI,SGSY,,Revived,01-08-2022,Woman(Regular),-,Weekly,-,50,24,-,-,-,Active,327010198219.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,25-11-2010,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000934346,DHARITRI,238369,GEN,16-10-2005,10,MATRI MANGAL,KAPOUPAHI,SGSY,,Revived,27-10-2019,Woman(Regular),-,Weekly,Weekly,20,24,-,-,-,Active,327010113887.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,20-11-2005,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000933987,GOG CHANDRAMUKHI,233189,GEN,22-04-2003,10,JIBON JATRA,KAPOUPAHI,SGSY,,Revived,30-04-2018,Woman(Regular),-,Weekly,Weekly,20,24,-,-,-,Active,327010112004.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,04-06-2003,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000934037,J. B. ATMA SAHAYAK GOT,148966,OTH,01-12-2017,9,AKASHI,KAPOUPAHI,NRLM,,New,,Woman(Regular),-,Weekly,Weekly,50,12,-,-,-,Active,327010407090.0,Savings,PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,01-12-2017,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000935494,JAN JAGRITI,264345,OBC,09-07-2011,12,JYOTIRUPA,KAPOUPAHI,NRLM,,New,,Woman(Regular),-,Weekly,Weekly,50,12,shg_services,shg_livestock,shg_manufacturing,Active,327010261142.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,07-02-2012,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000934899,JANTARA,245825,GEN,01-10-2006,10,MATRI MANGAL,KAPOUPAHI,SGSY,,Revived,13-07-2023,Woman(Regular),-,Weekly,Weekly,20,24,-,-,-,Active,327010114288.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,20-12-2006,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000934139,JONAKI,250877,GEN,03-04-2005,12,KAJIRANGA,KAPOUPAHI,SGSY,,Revived,28-08-2017,Woman(Regular),-,Weekly,Weekly,25,24,-,-,-,Active,327010112991.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,19-04-2005,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000934852,JONALI SHG,265028,GEN,01-09-2010,11,AKASHI,KAPOUPAHI,SGSY,,Revived,10-08-2017,Woman(Regular),-,Weekly,Weekly,25,24,shg_livestock,-,-,Active,327010200523.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,28-02-2011,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000934796,JOTI MAHILA,244057,GEN,15-10-2002,13,SONALI,KAPOUPAHI,SGSY,,Revived,26-07-2017,Woman(Regular),-,Weekly,Weekly,25,24,-,-,-,Active,327010112028.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,26-06-2003,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000935528,JYOTIRUPA SHG,273605,SC,11-02-2004,10,KAJIRANGA,KAPOUPAHI,SGSY,,Revived,28-08-2017,Woman(Regular),-,Weekly,Weekly,25,24,-,-,-,Active,327010112506.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,18-02-2004,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000933761,KALYANI ATMA SAHAYAK GOT,244902,OBC,03-01-2001,11,JYOTIRUPA,KAPOUPAHI,Other,NRLM MIS ID,Revived,17-04-2018,Woman(Regular),-,Weekly,Weekly,25,12,shg_livestock,shg_manufacturing,shg_livestock,Active,327010114858.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,03-01-2001,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000934380,KALYANI ATMA SHG,232245,OBC,07-06-2008,10,BIRINA,KAPOUPAHI,SGSY,,Revived,02-01-2024,Woman(Regular),-,Weekly,Weekly,40,24,-,-,-,Active,327010115727.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,16-07-2008,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000934777,LAKHMI GOT,242042,OTH,14-02-2003,10,JYOTIRUPA,KAPOUPAHI,SGSY,,Revived,31-05-2019,Woman(Regular),-,Weekly,Weekly,25,12,shg_livestock,shg_agriculture,shg_manufacturing,Active,327010111990.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,12-06-2003,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000935070,LAKSHMI ATMA SAHAYAK GOT,148159,GEN,01-01-2007,12,MAHATMA,KAPOUPAHI,SGSY,,Revived,27-11-2017,Woman(Regular),-,Weekly,Weekly,25,24,-,-,-,Active,327010114772.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,07-03-2007,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000933580,LAKSHMI SELP HELP GROUP,232419,GEN,10-11-2003,12,MATRI MANGAL,KAPOUPAHI,SGSY,,Revived,10-07-2023,Woman(Regular),-,Weekly,Weekly,20,24,-,-,-,Active,327010112213.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,18-11-2003,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000934555,MA DURGA,263542,GEN,01-07-2008,10,MATRI MANGAL,KAPOUPAHI,SGSY,,Revived,18-05-2017,Woman(Regular),-,Weekly,Weekly,20,24,-,-,-,Active,327010117137.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,17-12-2008,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000934658,MAA MANASA S H G,162917,GEN,02-10-2006,12,JYOTIRUPA,KAPOUPAHI,SGSY,,Revived,01-06-2017,Woman(Regular),-,Weekly,Weekly,25,12,shg_livestock,shg_livestock,shg_manufacturing,Active,327010114240.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,27-11-2006,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000934187,MAHAPRABHU,272167,GEN,28-05-2016,11,KAJIRANGA,KAPOUPAHI,NRLM,,Revived,01-04-2019,Woman(Regular),-,Weekly,Weekly,25,24,-,-,-,Active,327010382441.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,17-06-2016,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000935748,MANISHA,237722,GEN,02-03-2006,11,MATRI MANGAL,KAPOUPAHI,SGSY,,Revived,15-04-2022,Woman(Regular),-,Weekly,Weekly,20,24,-,-,-,Active,327010114284.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,20-12-2006,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000934322,MASANDORI ASG,282655,GEN,01-10-2002,10,KAJIRANGA,KAPOUPAHI,SGSY,,Revived,27-08-2017,Woman(Regular),-,Weekly,Weekly,25,24,-,-,-,Active,327010111753.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,13-11-2002,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000934085,MILANJYOTI SHG,265140,GEN,01-05-2019,11,AKASHI,KAPOUPAHI,NRLM,,New,,Woman(Regular),-,Weekly,Weekly,25,36,shg_agriculture,shg_livestock,shg_livestock,Active,327010428019.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,07-06-2019,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000934282,MILIJULI SHG,151455,GEN,02-05-2003,11,SONALI,KAPOUPAHI,SGSY,,Revived,06-07-2017,Woman(Regular),-,Weekly,Weekly,25,24,-,-,-,Active,327010112221.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,19-11-2003,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000933607,MOUSUMI,244035,GEN,02-03-2008,12,SONALI,KAPOUPAHI,SGSY,,Revived,26-07-2017,Woman(Regular),-,Weekly,Weekly,25,24,-,-,-,Active,327010115381.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,13-03-2008,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000935425,MR KISSAN SELP HELP GOT,244168,SC,01-01-2007,11,JYOTIRUPA,KAPOUPAHI,SGSY,,Revived,06-04-2020,Woman(Regular),-,Weekly,Weekly,25,12,shg_livestock,shg_livestock,shg_manufacturing,Active,327010114894.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,24-01-2007,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000933837,MUKTI GOT,145704,GEN,05-03-2007,12,JYOTIRUPA,KAPOUPAHI,SGSY,,Revived,08-04-2019,Woman(Regular),-,Weekly,Weekly,25,12,shg_livestock,shg_livestock,shg_livestock,Active,327010114904.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,25-07-2007,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000933551,NABAJYOTI SHG,146488,GEN,05-07-2007,11,KAJIRANGA,KAPOUPAHI,SGSY,,Revived,08-09-2017,Woman(Regular),-,Weekly,Weekly,25,24,-,-,-,Active,327010114897.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,24-07-2007,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000934691,NARJI SELF HELP GROUP,264396,GEN,17-06-2008,10,MAHATMA,KAPOUPAHI,SGSY,,Revived,01-05-2022,Woman(Regular),-,Weekly,Weekly,20,24,-,-,-,Active,327010115642.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,17-06-2008,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000933939,NARMADA,238362,GEN,12-09-2005,12,MATRI MANGAL,KAPOUPAHI,SGSY,,Revived,04-07-2023,Woman(Regular),-,Weekly,Weekly,20,24,-,-,-,Active,327010113463.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,27-10-2005,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000933863,P/S ASHA,234917,GEN,12-10-2015,11,MATRI MANGAL,KAPOUPAHI,SGSY,,Revived,04-10-2018,Woman(Regular),-,Weekly,Weekly,20,24,-,-,-,Active,327010361484.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,19-11-2015,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000934461,PRAGATI MAHILA GOT,244155,SC,02-05-2004,10,JYOTIRUPA,KAPOUPAHI,SGSY,,Revived,14-04-2020,Woman(Regular),-,Weekly,Weekly,25,12,shg_livestock,shg_livestock,shg_livestock,Active,327010112865.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,17-11-2004,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000934572,PUJA ATMA SAHAYAK GOT,162840,OTH,12-01-2006,13,MATRI MANGAL,KAPOUPAHI,SGSY,,Revived,30-07-2023,Woman(Regular),-,Weekly,Weekly,20,25,-,-,-,Active,327010114356.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,29-01-2007,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000934118,PURNIMA,237775,GEN,20-12-2006,12,MATRI MANGAL,KAPOUPAHI,SGSY,,Revived,08-07-2023,Woman(Regular),-,Weekly,Weekly,20,24,-,-,-,Active,327010114279.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,20-12-2006,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000935571,RADHA KRISHNA,272048,GEN,28-03-2016,11,KAJIRANGA,KAPOUPAHI,NRLM,,Revived,16-11-2018,Woman(Regular),-,Weekly,Weekly,25,24,-,-,-,Active,327010381581.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,15-06-2016,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000934984,RAMKRISHNA SHG,148858,GEN,10-12-2008,10,KAJIRANGA,KAPOUPAHI,SGSY,,Revived,04-10-2017,Woman(Regular),-,Weekly,Weekly,25,24,-,-,-,Active,327010117030.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,10-12-2008,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000933624,RANDANI CHUBURI,233187,GEN,24-04-2002,11,MATRI MANGAL,KAPOUPAHI,SGSY,,Revived,28-06-2023,Woman(Regular),-,Weekly,Weekly,25,24,-,-,-,Active,327010111577.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,27-06-2002,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000933788,RANGDHALI,242045,GEN,30-06-2006,11,AKASHI,KAPOUPAHI,SGSY,,Revived,09-09-2022,Woman(Regular),-,Weekly,Weekly,25,36,shg_agriculture,-,-,Active,327010113850.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,19-07-2006,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000935711,RENGONI,244171,GEN,01-01-2017,13,SONALI,KAPOUPAHI,NRLM,,Revived,29-08-2017,Woman(Regular),-,Weekly,Weekly,25,25,-,-,-,Active,327010404242.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,29-07-2017,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000935321,RIMJIM,239403,GEN,04-07-2008,12,SONALI,KAPOUPAHI,SGSY,,Revived,17-02-2024,Woman(Regular),-,Weekly,Weekly,40,24,shg_services,shg_manufacturing,ntfp,Active,327010112219.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,10-12-2008,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000935690,RUPALIM ATMA SAHAYAK GOT,148059,GEN,08-05-2007,12,JYOTIRUPA,KAPOUPAHI,SGSY,,Revived,02-04-2018,Woman(Regular),-,Weekly,Weekly,25,12,shg_livestock,shg_livestock,shg_livestock,Active,327010114552.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,09-07-2007,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000935603,RUPJYOTI ATMA SAHAYAK GOT,165846,GEN,20-08-2003,11,MATRI MANGAL,KAPOUPAHI,SGSY,,Revived,26-06-2023,Woman(Regular),-,Weekly,Weekly,25,24,-,-,-,Active,327010112157.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,25-11-2003,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000935439,RUPJYOTI GOT,148263,SC,01-02-2005,11,JYOTIRUPA,KAPOUPAHI,SGSY,,Revived,14-11-2017,Woman(Regular),-,Weekly,Weekly,20,12,shg_livestock,shg_livestock,shg_livestock,Active,327010113522.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,05-02-2005,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000935252,SANJEEVANI GOT,241281,SC,05-09-2016,13,JYOTIRUPA,KAPOUPAHI,NRLM,,Revived,24-02-2017,Woman(Regular),-,Weekly,Weekly,25,12,shg_livestock,shg_livestock,shg_livestock,Active,327010399487.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,24-02-2017,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000934160,SEUJI SHG,284858,GEN,01-02-2007,12,AKASHI,KAPOUPAHI,SGSY,,Revived,01-04-2024,Woman(Regular),-,Weekly,Weekly,25,24,shg_livestock,-,-,Active,327010114942.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,01-03-2007,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000934211,SHAKTI,238314,GEN,20-01-2009,11,MATRI MANGAL,KAPOUPAHI,SGSY,,Revived,02-08-2023,Woman(Regular),-,Weekly,Weekly,20,24,-,-,-,Active,327010176279.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,21-04-2009,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000935402,SIROMANI SHG,151662,GEN,12-06-2007,10,JYOTIRUPA,KAPOUPAHI,SGSY,,Revived,07-04-2019,Woman(Regular),-,Weekly,Weekly,50,12,shg_livestock,shg_livestock,shg_livestock,Active,327010114943.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,13-08-2007,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000934586,SRI KRISHNA SHG,162816,GEN,01-09-2005,13,SONALI,KAPOUPAHI,SGSY,,Revived,26-07-2017,Woman(Regular),-,Weekly,Weekly,25,24,-,-,-,Active,327010113479.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,08-11-2005,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000935456,SRI SRI SANKARDEVA SHG,148804,GEN,11-12-2017,11,KAJIRANGA,KAPOUPAHI,NRLM,,New,,Woman(Regular),-,Weekly,Weekly,25,24,-,-,-,Active,327010113475.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,11-12-2017,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000934435,SWAGATAM ATMA SAHAYAK GOT,162866,SC,07-05-2007,12,JYOTIRUPA,KAPOUPAHI,Other, EULU BANIYA,Revived,05-04-2020,Woman(Regular),-,Weekly,Weekly,50,12,shg_fishery,shg_livestock,shg_livestock,Active,327010114798.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,02-07-2007,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000934016,SWARNALATA SHG,233274,GEN,13-06-2007,11,MATRI MANGAL,KAPOUPAHI,SGSY,,Revived,15-07-2023,Woman(Regular),-,Weekly,Weekly,20,24,-,-,-,Active,327010114891.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,24-07-2007,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000935004,TIRANGA SHG,273883,OTH,01-05-2019,10,MATRI MANGAL,KAPOUPAHI,NRLM,,Revived,02-08-2021,Woman(Regular),-,Weekly,Weekly,25,24,-,-,-,Active,327010428026.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,12-07-2019,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000933956,UPASANA ATMA SAHAYAK GOT,250894,OTH,03-01-2007,12,KAJIRANGA,KAPOUPAHI,SGSY,,Revived,02-02-2017,Woman(Regular),-,Weekly,Weekly,25,24,-,-,-,Active,327010114408.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,21-02-2007,False
ASSAM,KAMRUP,BEZERA,AGDOLA,ALIPUB,4000934125,1 NO PACHIM ALIPUB SWARNAJAYANTI GRAMYA SWA ROJGAR YOJANA,148948,GEN,01-09-1999,11,AKASHI,KAPOUPAHI,SGSY,,Revived,05-04-2022,Woman(Regular),-,Weekly,Weekly,25,24,-,-,-,Active,327010110546.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,10-11-1999,False
